category_id,recipe_id
3,427
3,445
3,208
3,787
3,818
3,354
3,478
3,738
3,400
3,73
3,923
3,508
3,485
3,899
3,488
3,270
3,826
3,607
3,413
3,423
3,16
3,721
3,708
3,824
3,894
3,429
3,785
3,892
3,264
3,248
3,449
3,930
3,868
3,852
3,719
3,526
3,367
3,215
3,521
3,287
3,764
3,684
3,210
3,221
3,820
3,482
3,896
3,224
3,705
3,57
3,687
3,651
3,394
3,473
4,67
4,141
4,178
4,404
4,772
4,339
4,16
4,568
4,24
4,755
4,436
4,855
4,175
4,58
4,379
4,783
4,551
4,189
4,327
4,759
4,691
4,600
4,753
4,420
4,273
4,114
4,348
4,725
4,126
4,357
4,718
4,29
4,621
4,26
4,308
4,148
4,306
4,706
4,871
4,858
4,304
4,886
4,601
4,843
4,761
4,609
4,615
4,302
4,539
4,605
4,782
4,89
4,884
4,362
4,669
4,582
4,822
4,149
4,108
4,599
4,515
4,846
4,654
4,220
4,617
4,233
4,150
4,146
4,371
4,77
4,505
4,289
4,197
4,345
4,921
4,864
4,192
4,90
4,693
4,531
4,834
4,151
4,100
4,451
4,602
4,689
4,637
4,704
4,866
4,328
4,498
4,249
4,33
4,443
4,695
4,260
4,418
4,710
4,15
4,747
4,496
4,245
4,512
4,184
4,279
4,262
4,603
4,674
4,232
4,337
4,714
4,656
4,912
4,349
4,521
4,83
4,315
4,253
4,630
4,199
4,10
4,703
4,826
4,419
4,527
4,795
4,209
4,491
4,629
4,99
4,142
4,384
4,635
4,62
4,878
4,760
4,544
4,109
4,525
4,558
4,246
4,177
4,796
4,190
4,389
4,200
4,439
4,88
4,135
4,522
4,639
4,53
4,594
4,789
4,902
4,152
4,140
4,222
4,837
4,66
4,672
4,51
4,70
4,564
4,574
4,166
4,698
4,275
4,375
4,102
4,479
4,677
4,786
4,781
4,766
4,778
4,533
4,590
4,388
4,732
4,278
4,791
4,27
4,499
4,342
4,259
4,604
4,658
4,559
4,657
4,452
4,274
4,227
4,37
4,741
4,113
4,652
4,312
4,513
4,550
4,145
4,724
4,179
4,466
4,614
4,332
4,699
4,726
4,709
4,131
4,68
4,916
4,900
4,281
4,773
4,265
4,612
4,297
4,817
4,815
4,775
4,493
4,828
4,814
4,36
4,480
4,373
4,665
4,69
4,378
4,618
4,821
4,376
4,779
4,836
4,838
4,446
4,597
4,587
4,417
4,438
4,161
4,839
4,739
4,472
4,690
4,811
4,170
4,165
5,515
5,706
5,62
5,10
5,813
5,220
5,298
5,82
5,215
5,905
5,915
5,341
5,929
5,417
5,366
5,349
5,619
5,862
5,253
5,299
5,612
5,16
5,758
5,509
5,105
5,125
5,420
5,608
7,837
7,639
7,308
7,404
7,902
7,822
