id,stepindex,recipe_id,stepamount,steptitle
211,2,661,1 dash,Grenadine
212,3,637,{null},Recommended Beer: Corona
214,0,697,{null},Tools: Shaker
215,2,356,1 oz,Whiskey
217,3,508,1 1/2 oz,Coffee Liqueur
219,8,498,1 splash,Cola
221,6,575,{null},Strain into glass
223,2,669,{null},Stir
225,2,649,1/2 oz,Bourbon
226,0,288,3/4 oz,Chartreuse (green)
227,8,394,{null},Shake well
229,0,393,Fill 1/2,Ice
230,2,479,1/2 oz,Club Soda
231,5,584,{null},Pour into glass
232,2,644,1 oz,Galliano
233,5,439,{null},Recommended Wine: Lillet Blanc
234,1,327,Fill 3/4,Ice
235,0,400,Fill,Ice
236,6,568,{null},Pour into glass
238,4,343,1 dash,Ginger Ale
239,1,689,{null},Garnish glass rim with powdered sugar
240,2,364,1/2 oz,Brandy (apricot)
241,3,640,{null},Pour over ice
242,5,437,3 oz,Pineapple Juice
244,6,566,{null},Pour into glass
245,2,355,3/4 oz,Grenadine
246,2,358,3 oz,Champagne
247,7,551,1 sprig,Mint
249,8,522,Garnish,Apples
250,0,711,{null},Tools: Shaker
251,1,688,1/2 oz,Irish Cream
253,0,639,2 oz,Irish Cream
254,0,753,1 oz,Vodka
255,1,680,1 oz,Vodka
256,4,405,{null},Stir
258,2,666,2 oz,Vodka
259,2,365,fill,Clamato Juice
260,4,327,1 tbsp,Lemon Juice
262,1,342,8 wedges,Limes
263,0,751,{null},Tools: Shaker
264,6,460,{null},Shake
265,7,556,{null},Strain into glass
266,0,296,{null},Tools: Shaker
267,0,710,{null},Tools: Mixing Glass
270,0,445,{null},Tools: Shaker
271,6,573,{null},Place Cherry in bottom of glass
273,8,417,1 splash,Cola
274,5,443,{null},Shake
275,5,581,1/2 oz,Blue Curacao
276,2,545,1/2 oz,Lime Juice
277,5,591,1 1/3 oz,Rum (light)
278,6,583,{null},Recommended Gin: Bombay Sapphire
279,7,555,{null},Recommended Peppermint Schnapps: Rumple Minze
282,2,546,3 oz,Vodka
283,2,674,1 oz,Kahlua
287,8,497,{null},Garnish with an orange twist
288,2,673,2 oz,Vodka
290,1,336,1 1/2 oz,Rum (white)
291,10,543,{null},Recommended Brandy: Calvados
292,5,599,{null},Stir
293,3,388,1 oz,Lemon Juice
294,4,689,1 oz,Gin
295,0,702,{null},Tools: Shaker
296,4,342,Fill,Vodka
297,9,516,Garnish,Cherries (maraschino)
298,2,658,1 1/2 oz,Brandy
299,0,760,2 oz,Kahlua
300,5,687,1 splash,Orange Juice
301,2,378,2 oz,Scotch
302,2,678,2 oz,Rum
304,0,759,{null},Tools: Shaker
307,4,515,{null},Stir
310,0,762,1 oz,Triple Sec
311,3,420,{null},Stir
312,2,676,2 oz,Orange Juice
313,6,474,6 oz,Orange Juice
314,1,357,1/2 oz,Vodka
316,5,451,1/2 oz,Triple Sec
317,6,572,3/4 oz,Sweet-and-Sour
318,2,492,1 oz,Lemon Juice
319,3,401,1 oz,Rum (white)
320,0,707,Fill,Ice
321,4,628,{null},Recommended Gin: Gordon's
322,3,427,4 oz,Pineapple
323,4,422,{null},Stir
324,0,321,{null},Tools: Shaker
325,3,648,1/4 oz,Sherry
327,2,675,1 1/2 oz,Vodka (lemon)
328,1,692,3/4 oz ,Rum (151 proof)
329,6,505,{null},Garnish with a cherry
330,3,395,{null},Stir until honey is dissolved
331,4,695,1 oz,Light Cream
332,0,404,1 oz,Frangelico
333,3,408,1/2 oz,Cream
334,3,642,1 splash,Sweet-and-Sour
336,2,681,1 tsp,Grand Marnier
337,5,598,1 piece,Limes
338,1,488,1 oz,Rum (coconut)
339,6,584,Garnish,Cherries (maraschino)
340,5,613,{null},Strain into glass
341,4,357,1/2 oz,Tequila
342,0,604,1 oz,Kahlua
343,3,657,4 dashes,Bitters
344,3,661,1 splash,Orange Juice
345,0,303,3/4 oz,Champagne
346,0,269,{null},Tools: Shaker
347,4,697,2 oz,Lemon Juice
348,1,356,1 oz,Rum (dark)
349,0,722,{null},Tools: Shaker
350,2,508,3 oz,Rum (coconut)
352,1,695,Fill,Ice
353,3,649,1/4 oz,Amaretto
354,0,727,1/2 oz,Tequila
355,5,460,1 oz,Cream
356,0,329,{null},Tools: Shaker
359,3,669,Fill,Light Cream
360,0,728,1 1/2 oz,Gin
361,1,479,1 1/2 oz,Vodka
362,4,488,2 1/2 oz,Orange Juice
363,3,644,1/2 oz,Rum (white)
364,3,405,1 splash,Cranberry Juice
366,7,498,{null},Stir
367,0,729,{null},Tools: Shaker
368,5,485,1 oz,Rum (pineapple)
371,1,364,Fill,Ice
372,1,698,2 oz,Jagermeister
373,9,394,{null},Strain into ice-filled glass
374,0,723,{null},Tools: Shaker
375,6,471,{null},Strain into glass
376,1,358,Fill,Ice
377,0,720,{null},Tools: Shaker
378,7,573,{null},Strain into glass
381,5,605,3 slices,Pineapple
382,1,697,Fill 3/4,Ice
383,1,355,1 1/2 oz,Creme de Cacao
384,0,343,Fill 1/2,Ice
385,7,568,5 pieces,Strawberries
386,2,688,1/2 oz,Tequila
387,0,771,4 oz,Champagne
388,2,680,1 oz,Raspberry Syrup
389,3,666,1/2 oz,Creme de Cassis
391,0,731,Fill,Ice
392,9,543,4 oz,Champagne
393,1,590,2 1/2 oz,Tequila (gold)
395,4,479,Garnish,Limes
396,9,522,Garnish,Lemons
397,7,566,4 oz,Champagne
398,8,555,{null},Recommended Rum: Bacardi 151
399,1,365,1 1/2 oz,Vodka
400,4,711,Fill,7-Up
402,0,309,Fill,Ice
405,6,591,1 oz,Lime Juice
406,6,581,1/2 oz,Schnapps (raspberry)
409,4,364,1 oz,Gin
411,7,497,{null},Strain into glass
412,5,611,2 oz,Pineapple Juice
413,0,732,Fill 1/2,Ice
414,3,545,3 oz,Cranberry Juice
415,4,710,1 tsp,Sugar Syrup
416,3,546,1/2 oz,Vermouth (dry)
417,3,674,1 oz,Light Cream
418,5,505,{null},Stir
420,5,503,1 tsp,Grenadine
421,3,673,1/2 oz,Midori
423,0,774,{null},Tools: Shaker
424,8,556,Garnish,Orange Peel
425,4,715,1/2 oz,Pernod
426,9,417,{null},Garnish with a lemon slice
427,0,740,{null},Tools: Shaker
429,5,487,{null},Blend on medium speed
430,3,526,1/2 oz,Orange Juice
432,3,693,Fill,Club Soda
433,2,388,2 oz,Rum (dark)
436,4,365,3 dashes,Worcestershire Sauce
437,1,711,Fill 1/2,Ice
438,2,689,Fill,Ice
441,7,572,{null},Stir
442,3,658,1/2 oz,Maraschino Liqueur
443,9,499,{null},Recommended Orange Liqueur: Mandarine Napolean Orange
444,4,648,{null},Shake
445,0,238,1 1/4 oz,Tequila
446,3,678,3/4 oz,Lime Juice
448,3,422,1 dash,Lime Juice
449,1,378,Fill 3/4,Ice
450,1,710,Fill,Ice
451,0,778,3/4 Fill,Ice
454,6,598,{null},Recommended Spiced Rum: Sailor Jerry
455,0,744,1 cube,Ice
456,1,712,2 oz,Lemon Juice
458,2,395,1/2 tbsp,Water (hot)
459,3,681,{null},Garnish with an orange twist
461,1,715,Fill 3/4,Ice
463,4,717,5 oz,Pineapple Juice
465,3,676,4 oz,Champagne
466,5,474,1/2 oz,Grenadine
467,0,737,{null},Tools: Shaker
469,5,617,1 dash,Bitters
470,1,492,2 oz,Gin
472,6,613,1 Twist,Oranges
473,2,401,1 oz,Rum (151 proof)
474,5,616,1 oz,Lime Juice
475,5,471,{null},Shake
476,5,515,{null},Garnish with an orange slice
477,4,657,{null},Stir
478,4,378,1 tsp,Sugar (superfine)
479,1,702,1/2 oz,Vodka
481,0,749,{null},Tools: Shaker
482,0,449,{null},Tools: Blender
483,3,675,3/4 oz,Sweet-and-Sour
484,2,692,1/4 oz,Hpnotiq Liqueur
485,5,622,2 dashes,Cranberry Juice
486,1,716,2 oz,Pimm's No. 1
487,2,408,1 1/2 oz,Brandy (cherry)
488,5,624,{null},Recommended Rum: Bacardi Limon
489,5,625,2 oz,Sweet-and-Sour
491,4,725,2 dashes,Bitters (orange)
492,5,510,1 tsp,Sugar (superfine)
493,5,509,3 dashes,Bitters (orange)
494,1,717,Fill 1/3,Ice
496,4,707,1/2 oz,Tequila
497,5,628,{null},Recommended Wine: Kina Lillet
498,0,317,Fill,Ice
499,6,498,3/4 oz,Sweet-and-Sour
502,0,748,{null},Tools: Shaker
503,4,269,1/2 oz,Amaretto
504,10,394,4 dashes,Bitters
505,2,695,1 oz,Coffee Liqueur
506,1,508,Fill 3/4,Ice
508,0,627,{null},Tools: Shaker
509,0,357,3-4 cubes,Ice
510,3,688,{null},Recommended Irish Cream: Bailey's
511,1,604,1/2 oz,Brandy
512,9,679,{null},Stir
513,6,487,{null},Pour into chilled glass
515,8,568,{null},Crush strawberries and garnish.
516,0,636,2/3 Fill,Ice
517,4,722,1/2 tsp,Sugar (powdered)
518,10,522,{null},Recommended Gin: Beefeater
519,8,566,{null},Stir well
520,4,726,1 oz,Schnapps (vanilla)
521,8,573,{null},Garnish with an orange slice
522,1,707,1/2 oz,Vodka
524,6,485,4 oz,Grapefruit Juice
525,7,514,Garnish,Oranges
526,7,591,{null},Shake with ice
527,1,727,1/2 oz,Strawberry Liqueur
528,2,405,1/2 oz,Triple Sec
529,6,605,{null},Muddle ingredients
531,1,728,5 oz,Grapefruit Juice
532,1,725,Fill 1/2,Ice (crushed)
533,0,790,3-4 cubes,Ice
534,2,698,1 oz,Vodka
535,1,269,Fill 3/4,Ice
536,0,488,{null},Tools: Shaker
537,10,653,{null},Pour into glass
538,4,729,1/4 tsp,Lemon Juice
539,6,503,{null},Shake
540,0,746,{null},Cut 6 strips of bacon into small pieces
541,4,720,1 dash,Lemon Juice
542,4,546,{null},In glass
544,6,497,{null},Stir
545,2,697,1 oz,Absinthe
547,3,439,1 dash,Creme de Noyaux
549,3,680,Fill,Cola
551,4,730,1/2 oz,Triple Sec
554,1,722,Fill 3/4,Ice
555,0,641,{null},Tools: Mixing Glass
556,0,756,{null},Tools: Pitcher
557,1,726,1 oz,Schnapps (butterscotch)
558,3,437,2 tsp,Grenadine
559,6,491,{null},Strain into glass
562,4,454,{null},Recommended Gin: Beefeater
563,2,590,Fill,Tonic Water
564,5,640,{null},Stir
565,6,611,2 oz,Lemon-Lime Cola
566,0,364,{null},Tools: Mixing Glass
567,2,403,1/2 oz,Grenadine
569,8,543,{null},Strain into glass
570,1,729,Fill 3/4,Ice
571,1,720,Fill 3/4,Ice
573,1,723,Fill 3/4,Ice
574,4,731,4 oz,Lemon-Lime Cola
575,7,581,1/2 oz,Midori
576,2,712,{null},Tonic Water
577,2,526,1 oz,Kahlua
580,1,732,1 shot,Vodka
581,7,598,{null},Recommended Black Rum: Cruzan
582,6,617,{null},Shake
583,1,730,Fill 1/2,Ice
584,3,443,1/3 oz,Brandy (apricot)
586,1,388,Fill 1/2,Ice
587,3,689,1/2 oz,Vermouth (dry)
589,0,761,3 cubes,Ice
591,2,711,1 1/2 oz,Gin
592,2,693,{null},Pour into glass
593,0,799,3/4 Fill,Ice (crushed)
596,2,710,1 1/2 oz,Rum (light)
600,1,238,8 drops,Tabasco Sauce
601,2,422,4 1/2 oz,Lemon-Lime Cola
602,1,731,1 oz,Whiskey
604,6,510,{null},Shake
605,8,572,1 splash,Champagne
607,1,395,1/2 tbsp,Honey
608,0,336,Fill 1/2,Ice
609,8,499,{null},Garnish with a maraschino cherry
610,2,715,1 1/2 oz,Gin
611,0,816,{null},Tools: Shaker
613,4,388,1/2 tsp,Grenadine
614,5,648,{null},Strain into glass over ice
615,7,631,{null},Garnish with an olive or lemon twist
617,6,616,1 tsp,Sugar
618,3,687,1 oz,Banana Liqueur
619,0,766,{null},Tools: Shaker
621,1,744,1 1/2 oz,Advocaat
622,4,748,Garnish,Cherries (maraschino)
623,0,801,{null},Tools: Blender
625,7,605,{null},Shake
626,1,401,Fill 3/4,Ice
627,1,740,Fill 3/4,Ice
628,2,702,1/4 oz,Midori
629,0,763,{null},Tools: Shaker
630,6,622,{null},Garnish with a lime wedge
631,9,653,{null},Blend
632,6,509,{null},Stir
633,11,394,{null},Garnish with a cherry and a pineapple wedge
634,0,378,{null},Tools: Shaker
635,1,408,2 oz,Vodka
636,0,769,3-4 cubes,Ice
637,6,625,2 oz,7-Up
638,1,742,1/2 oz,Schnapps (cinnamon)
639,3,692,1 splash,Raspberry Liqueur
640,5,420,{null},Pour heavy cream over the back of a spoon so it will float on top
641,4,395,1/2 oz,Lemon Juice
642,2,716,3 oz,Lemonade
643,3,451,{null},Rum (white)1/2 oz
644,7,487,{null},Garnish with a slice of lime
645,2,717,1 1/2 oz,Rum (151 proof)
646,4,749,1 oz,Lemon Juice
647,5,498,1/2 oz,Triple Sec
648,0,328,1 tsp,Sugar (powdered)
649,5,491,{null},Shake
650,5,427,{null},Blend until smooth
651,0,327,{null},Tools: Shaker
652,5,657,{null},Strain into glass
653,11,522,{null},Recommended Amaretto: DiSaronno
654,1,737,1 tbsp,Brown Sugar
655,1,748,4 cubes,Ice
656,2,728,{null},Garnish with a lemon wedge
658,5,497,1/2 oz,Brandy (apricot)
659,4,401,1 oz,Brandy (blackberry)
660,4,40,{null},Shake
661,5,642,{null},Shake
662,3,695,1 oz (white),Creme de Cacao
663,7,503,{null},Strain into glass
664,8,591,{null},Strain into glass over ice
665,2,604,Fill,Coffee
666,4,408,1 white,Eggs
667,4,627,3/4 oz,Chartreuse (yellow)
668,2,707,1/2 oz,Gin
669,1,405,1 1/2 oz,Vodka (currant)
670,1,749,Fill 1/2,Ice
672,8,679,Fill,Club Soda
673,0,662,Fill,Ice (crushed)
674,2,727,1/2 oz,Whiskey
675,6,640,1 dash,Grenadine
676,2,725,2 oz,Gin
677,3,698,1 1/2 oz,Gin (dry)
678,3,454,6 oz,Orange Juice
680,1,636,1 1/2 oz,Vodka (vanilla)
681,5,649,1 oz,Cranberry Juice
682,3,460,1/2 oz,Irish Cream
683,2,269,1 oz,Vodka
684,0,772,Fill,Ice
686,7,485,4 oz,Orange Juice
687,9,566,{null},Garnish with an orange slice and a maraschino cherry
688,3,697,1 oz,Water
689,6,514,{null},Strain into glass
691,0,663,{null},Tools: Shaker
692,5,644,2 oz,Orange Juice
693,2,439,1 dash,Bitters (orange)
694,0,508,{null},Tools: Shaker
695,0,355,1 oz,Vodka
696,1,627,Fill 1/2,Ice
697,10,606,{null},Recommended Herbal Liqueur: Irish Mist
698,1,693,2 oz,Gin
699,7,543,{null},Shake
700,7,617,{null},Strain into glass
703,2,722,2 oz,Brandy
704,0,342,{null},Sugar
705,4,751,1/2 oz,Schnapps (peach)
708,3,590,Garnish,Limes
709,2,726,1 oz,Coca-Cola
710,0,479,Fill 1/2,Ice
711,2,437,1 1/2 oz,Tequila
712,5,546,1/2 oz,Irish Whiskey
715,0,356,1 oz,Vodka
716,0,358,{null},Tools:Shaker
719,1,403,1/2 oz,Lemonade
720,2,729,1 1/2 oz,Rum (light)
721,8,581,1/2 oz,Triple Sec
722,2,720,2 1/4 oz,Gin
723,4,756,8 oz,Cranberry Juice
724,2,723,2 oz,Rum (light)
725,5,666,{null},Shake
726,7,611,3-4 Cubes,Ice
727,1,639,3/4 oz,Irish Whiskey
729,2,732,Fill,Ginger Ale
730,1,753,3/4 oz,Schnapps (peach)
731,1,746,{null},Cook bacon
732,1,526,1 oz,Rum (coconut)
734,7,509,{null},Strain into chilled glass
735,3,712,Garnish,Limes
736,3,505,3 oz,Cola
737,2,730,1 1/4 oz,Gin (dry)
738,7,616,{null},Shake
740,2,443,1 1/2 oz,Gin
741,4,693,Garnish,Lemon Peel
742,6,427,{null},Pour into glass
745,1,751,Fill 1/2,Ice
746,4,759,1 oz,Cream
747,0,773,{null},Tools: Shaker
748,3,711,1 1/2 oz,Midori
750,5,545,{null},Garnish with a lime wedge
751,8,565,Garnish,Limes
752,0,779,{null},Tools: Shaker
753,6,631,{null},Strain into glass
754,5,673,1/8 oz,Lime Juice
755,7,499,{null},Pour into glass
756,6,642,{null},Pour into glass over ice
757,1,641,Fill,Ice
