id,name
1,TO CHANGE
2,Collins Glass
3,Double Rocks Glass
4,Wine Goblet
5,Margarita Glass
6,Brandy Snifter
7,Beer Mug
8,Mason Jar
9,Hurricane Glass
10,Coffee Mug
11,Pint Glass
12,Shot Glass
13,Champagne Saucer
14,Highball Glass
15,Old-Fashioned Glass
16,Double Shot Glass
17,Irish Coffee Mug
18,Cocktail Glass
19,Champagne Flute
20,Red Wine Glass
21,Rocks Glass
22,Punch Bowl
23,White Wine Glass
24,Pilsner Glass
25,Any Glass
26,Double Old-Fashioned Glass
