id,name
1,Cocktails
2,Sours
3,Tropical Drinks
4,Mixed Drinks
5,Classics
6,Shooters
7,Hot Drinks
8,Highballs
9,Martinis
10,Exotics
11,Fizzes
12,Punches
13,Frozen Drinks
14,Mixers
